year,publication,title,keywords
2000,"人力資源管理學報","人力資源管理實務對組織績效之影響：以知識分享為中介變項","人力資源管理,知識分享,組織績效,結構方程模型"
2001,"中山管理評論","策略性人力資源管理、智慧資本與組織績效之關聯性研究","策略性人力資源管理,智慧資本,組織績效,資源基礎理論"
2009,"高應科大學報","工作特性、工作滿足、組織承諾與離職意願之關聯性研究","工作特性,工作滿足,組織承諾,離職意願"
2001,"中華管理評論","消費者行為模式之研究－以網路購物為例","網路購物,消費者行為,科技接受模型,知覺風險,信任"
2003,"輔仁管理評論","品牌形象、品牌權益與購買意願關係之研究","品牌形象,品牌權益,購買意願,消費者行為"
2019,"行銷評論","數位行銷策略對品牌忠誠度影響之研究","數位行銷,社群媒體,內容行銷,影響者行銷,品牌忠誠度"
2001,"證券市場發展季刊","台灣地區共同基金績效持續性之實證研究","共同基金,基金績效,績效持續性,四因子模型"
2010,"會計與公司治理","企業社會責任對企業財務績效影響之研究","企業社會責任,財務績效,研發投入,公司治理"
2003,"國立成功大學會計學系碩博士班","應用實質選擇權評價模式於企業併購之研究","實質選擇權,企業併購,評價模型,管理彈性"
2019,"資訊管理學報","區塊鏈技術之應用與挑戰","區塊鏈,去中心化,智能合約,金融科技,供應鏈管理"
2019,"資訊管理研究","行動支付使用者持續使用意願之研究","行動支付,持續使用意願,期望確認理論,科技接受模型"
2018,"國立臺灣科技大學資訊管理系","應用機器學習於客戶流失預測之研究","機器學習,客戶流失預測,隨機森林,資料探勘,顧客關係管理"
2004,"運輸計劃季刊","供應鏈管理中資訊分享價值之研究","供應鏈管理,資訊分享,長鞭效應,系統動態學"
2006,"管理學報","綠色供應鏈管理之實證研究-以台灣電子業為例","綠色供應鏈管理,環境績效,經營績效,電子業"
2001,"中山大學企業管理學系","台灣半導體產業之競爭策略分析","競爭策略,五力分析,價值鏈,半導體產業"
2005,"清華大學科技管理研究所","晶圓代工產業之營運模式創新研究","營運模式創新,晶圓代工,平台策略,台積電"
2006,"政治大學科技管理與智慧財產研究所","創業家精神、創新能耐與新創事業績效之關聯","創業家精神,創新能耐,新創事業,績效"
2018,"政治大學企業管理學系","平台經濟下之商業模式創新","平台經濟,商業模式,網絡效應,雙邊市場"
2009,"輔仁大學餐旅管理學系","服務創新與顧客體驗價值之研究：以連鎖咖啡店為例","服務創新,顧客體驗,體驗價值,連鎖咖啡店"
2003,"淡江大學企業管理學系","體驗行銷對顧客忠誠度影響之研究","體驗行銷,顧客忠誠度,品牌體驗,服務業"
2010,"台灣資料科學協會","情感分析於網路輿情探勘之應用","情感分析,文本探勘,自然語言處理,機器學習,網路輿情"
2007,"台灣科技大學設計系","使用者介面(UI)與使用者體驗(UX)設計原則探討","使用者介面,使用者體驗,UI,UX,人機互動"
2008,"交通大學運輸與物流管理學系","電商物流倉儲最佳化之研究","電子商務,物流管理,倉儲管理,最佳化,揀貨路徑"
2013,"海洋大學航運管理學系","最後一哩路配送效率提升之探討","最後一哩路,物流配送,城市物流,共同配送"
2003,"政治大學財務管理學系","公司治理機制對企業舞弊行為之影響","公司治理,企業舞弊,獨立董事,股權結構"
2002,"成功大學會計學系","股權結構、董事會特性與公司績效之關聯性","股權結構,董事會特性,公司績效,代理理論"
2012,"輔仁大學心理學系","組織公平、心理契約與員工態度之關聯性研究","組織公平,心理契約,工作滿足,組織承諾"
2015,"中原大學企業管理學系","員工協助方案(EAPs)對員工壓力與工作績效之影響","員工協助方案,EAPs,工作壓力,工作績效"
2011,"中山大學人力資源管理研究所","薪酬公平性、工作投入與組織公民行為之研究","薪酬公平性,工作投入,組織公民行為"
2016,"交通大學經營管理研究所","高績效工作系統與員工創新行為：以心理賦權為中介變項","高績效工作系統,HPWS,創新行為,心理賦權"
2019,"中央大學人力資源管理研究所","主管領導風格對部屬工作倦怠之影響：以情緒勞動為調節變項","領導風格,工作倦怠,情緒勞動,轉換型領導"
2014,"成功大學國際企業研究所","企業國際化策略與績效之研究：以組織學習為調節變項","國際化策略,組織學習,企業績效,國際企業"
2012,"台灣大學國際企業學系","動態競爭下之競爭者分析與策略回應","動態競爭,競爭者分析,策略回應,航空公司"
2015,"政治大學企業管理學系","破壞式創新之成功關鍵因素探討","破壞式創新,創新管理,價值網路,低階市場"
2017,"台灣科技大學資訊管理系","數位轉型策略對組織能耐與競爭優勢之影響","數位轉型,組織能耐,競爭優勢,數位平台"
2010,"銘傳大學管理研究所","顧客關係管理、服務品質與顧客忠誠度之關聯性研究","顧客關係管理,CRM,服務品質,顧客忠誠度"
2014,"台灣大學商學研究所","網路口碑對消費者購買決策影響之研究：以涉入程度為調節變項","網路口碑,購買決策,涉入程度,電子商務"
2016,"中興大學行銷學系","綠色行銷與消費者綠色購買意願之研究","綠色行銷,綠色消費,購買意願,環境態度"
2011,"中央大學財務金融學系","現金股利政策與公司價值之關聯性分析","股利政策,公司價值,代理問題,訊號發射理論"
2013,"中山大學財務管理學系","首次公開發行(IPO)抑價現象之研究","首次公開發行,IPO,抑價,資訊不對稱"
2015,"交通大學資訊管理與財務金融學系","大數據分析在精準行銷之應用","大數據,資料探勘,精準行銷,顧客分群"
2017,"政治大學資訊管理學系","雲端運算服務採用意願之研究：整合UTAUT2與信任模型","雲端運算,採用意願,UTAUT2,信任"
2005,"台灣大學商學研究所","外派人員之跨文化適應與工作績效關係研究","外派人員,跨文化適應,工作績效,國際人力資源管理"
2010,"成功大學企業管理學系","知識型員工之工作投入與留任傾向研究","知識型員工,工作投入,留任,組織支持"
2009,"元智大學管理研究所","技術創新、專利策略與廠商績效之關聯—以台灣TFT-LCD產業為例","技術創新,專利策略,TFT-LCD,研發"
2012,"開南大學空運管理學系","關係行銷、顧客滿意度與再購意願之研究—以航空公司為例","關係行銷,顧客滿意度,再購意願,服務業行銷"
2014,"政治大學會計學系","財務報表舞弊偵測模型之建構與比較","財務報表舞弊,舞弊偵測,資料探勘,公司治理"
2016,"台灣大學資訊管理學研究所","物聯網(IoT)服務平台之商業模式探討","物聯網,IoT,商業模式,平台經濟"
2007,"中山大學人力資源管理研究所","平衡計分卡於人力資源管理績效評估之應用","平衡計分卡,BSC,績效評估,人力資源管理"
2011,"交通大學科技管理研究所","開放式創新與企業績效之關聯：以吸收能力為中介變項","開放式創新,吸收能力,創新績效"
